e,b,vi,ji,n12,n23,n31,nd,nc,v,vw,j,jw
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
40000.0,0,12.0,3,0,0,0,0,0,0,0.000e+00,0,0.000e+00
