e,b,vi,ji,n12,n23,n31,nd,nc,v,vw,j,jw,delta_e
40000.0,0.0,3.0,3,0,1,0,0,0,4.0,3.536e-01,35.0,3.310e+00,4.314315363296295e-10
40000.0,0.0,3.0,3,0,1,0,0,0,7.0,1.006e+01,13.0,2.326e-25,1.2807153046412445e-09
40000.0,0.0,3.0,3,1,0,0,0,0,1.0,1.697e-11,16.0,1.557e-26,-1.8648109251229172e-08
40000.0,0.0,3.0,3,1,0,0,0,0,1.0,8.470e-22,5.0,2.421e-33,-1.1757945186929852e-08
40000.0,0.0,3.0,3,1,0,0,0,0,4.0,1.949e-22,17.0,1.127e-35,-3.959405039943853e-09
40000.0,0.0,3.0,3,1,0,0,0,0,8.0,1.331e-03,5.0,6.472e+00,2.9078823932104925e-09
40000.0,0.0,3.0,3,1,0,0,0,0,5.0,1.221e-31,3.0,1.032e+01,3.777677268224089e-09
40000.0,0.0,3.0,3,0,0,1,0,0,2.0,9.186e-03,24.0,8.918e-35,3.119384195393593e-10
40000.0,0.0,3.0,3,1,0,0,0,0,8.0,1.116e+01,4.0,5.095e-40,4.374731285561317e-09
40000.0,0.0,3.0,3,1,0,0,0,0,12.0,1.650e-38,8.0,3.104e-41,-1.88667553802091e-11
40000.0,0.25,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,9.421669902587304e-10
40000.0,0.25,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,1.0291407656626284e-09
40000.0,0.25,3.0,3,0,0,1,0,0,13.0,2.051e-06,16.0,6.424e-41,1.310753339200943e-09
40000.0,0.25,3.0,3,0,1,0,0,0,3.0,7.085e-03,28.0,8.311e-02,4.435885964104713e-10
40000.0,0.25,3.0,3,0,0,1,0,0,4.0,3.175e-37,5.0,4.533e-30,1.14313539190114e-09
40000.0,0.25,3.0,3,1,0,0,0,0,10.0,5.027e-08,14.0,1.111e+01,-1.2451718406358836e-09
40000.0,0.25,3.0,3,0,1,0,0,0,5.0,5.857e+00,15.0,2.209e-01,9.013988583328469e-10
40000.0,0.25,3.0,3,1,0,0,0,0,2.0,2.865e-01,17.0,1.331e-04,-5.443019285289452e-09
40000.0,0.0,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,9.649209903317413e-10
40000.0,0.0,3.0,3,0,1,0,0,0,11.0,1.014e-02,32.0,2.307e-36,1.1679423539412426e-09
40000.0,0.0,3.0,3,0,1,0,0,0,10.0,7.219e-14,2.0,7.232e-32,1.0625388138785219e-09
40000.0,0.0,3.0,3,0,1,0,0,0,7.0,1.673e-27,23.0,1.250e-07,8.24856884185099e-10
40000.0,0.0,3.0,3,0,1,0,0,0,9.0,2.360e-35,3.0,8.578e-02,1.363995978664878e-09
40000.0,0.0,3.0,3,1,0,0,0,0,-0.0,1.875e-06,6.0,3.017e-23,-9.801903858019934e-09
40000.0,0.0,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,9.688716738620595e-10
