vi,ji,e,b,n12,n23,n31,nd,nc,time
3.0,3,40000.0,0.0,7,2,1,0,0,11.985350370407104
3.0,3,40000.0,0.0,3,5,0,2,0,11.712048053741455
3.0,3,40000.0,0.25,5,0,4,1,0,12.558354377746582
3.0,3,40000.0,0.5,5,1,2,2,0,12.348597049713135
3.0,3,40000.0,0.75,8,0,2,0,0,13.150846481323242
3.0,3,40000.0,1.0,7,1,0,2,0,14.464145183563232
3.0,3,40000.0,1.25,9,1,0,0,0,14.268632173538208
3.0,3,40000.0,1.5,7,0,1,2,0,12.015578508377075
3.0,3,40000.0,1.75,6,1,2,1,0,12.733509063720703
3.0,3,40000.0,2.0,9,0,0,1,0,13.744329452514648
3.0,3,40000.0,2.25,9,0,1,0,0,13.982119798660278
3.0,3,40000.0,2.5,5,0,4,1,0,13.038793563842773
3.0,3,40000.0,2.75,9,0,1,0,0,13.931444883346558
3.0,3,40000.0,3.0,8,1,1,0,0,13.687113523483276
3.0,3,40000.0,3.25,9,0,1,0,0,13.87449836730957
3.0,3,40000.0,3.5,10,0,0,0,0,14.882469177246094
3.0,3,40000.0,3.75,10,0,0,0,0,15.03980040550232
3.0,3,40000.0,4.0,10,0,0,0,0,15.027700662612915
3.0,3,40000.0,4.25,10,0,0,0,0,14.827919483184814
3.0,3,40000.0,4.5,10,0,0,0,0,15.497241735458374
3.0,3,40000.0,4.75,10,0,0,0,0,14.642904996871948
3.0,3,40000.0,0.0,5,2,1,2,0,10.793680429458618
3.0,3,40000.0,0.25,4,2,2,2,0,12.619583368301392
3.0,3,40000.0,0.5,5,0,3,2,0,11.797211408615112
3.0,3,40000.0,0.75,7,1,0,2,0,13.552550077438354
3.0,3,40000.0,1.0,7,1,0,2,0,13.545173168182373
3.0,3,40000.0,1.25,8,0,1,1,0,13.63709545135498
3.0,3,40000.0,1.5,6,1,2,1,0,12.677332639694214
3.0,3,40000.0,1.75,5,1,4,0,0,12.436687469482422
3.0,3,40000.0,2.0,7,0,3,0,0,13.46909499168396
3.0,3,40000.0,2.25,7,0,2,1,0,13.243149757385254
3.0,3,40000.0,2.5,7,0,2,1,0,14.25238585472107
3.0,3,40000.0,2.75,9,0,1,0,0,14.623635292053223
3.0,3,40000.0,3.0,9,0,0,1,0,13.405775785446167
3.0,3,40000.0,3.25,10,0,0,0,0,14.901118755340576
3.0,3,40000.0,3.5,9,1,0,0,0,14.205261468887329
3.0,3,40000.0,3.75,10,0,0,0,0,14.170685052871704
3.0,3,40000.0,4.0,10,0,0,0,0,14.861151456832886
3.0,3,40000.0,4.25,10,0,0,0,0,14.877686262130737
3.0,3,40000.0,4.5,10,0,0,0,0,15.5446617603302
3.0,3,40000.0,4.75,10,0,0,0,0,14.629751920700073
